relative_path,filename,extension,size_bytes,sheet_count,sheet_names,total_rows,is_duplicate,error,sha256
attendance\Afro_Mayo.xlsx,Afro_Mayo.xlsx,.xlsx,13702,4,Salma 5-7 sun;Mariem 11-1 Sat;Salma 5-7 Sat;Salma 4.5-7 Thu,18,False,,5bfcb393cb92c657...
attendance\Friday.xlsx,Friday.xlsx,.xlsx,56470,18,sara 11-2;gaafer 12-3;boles 12-3 ;basem 1-3;basem 3-5;rewaa 3-5;sara 3-5;gaafer 3-5;boles 3-6;ibrahem 4-6;karas 5-7;gaafer 5-7;basem 5-7;rewaa 6-8;ibrahem 6-8;mostafa6-8;Mostafa 3-4.5;E&S 1-3,426,False,,5980e9d1445b01a1...
attendance\monday.xlsx,monday.xlsx,.xlsx,26296,8,ezz 4-6;sara 4-6.5;Rewaa 5-6.5;Rewaa 6.5-8.5;boles 6-8;ezz 5.5-7;Mostafa 3-5;Ezz 6-8,120,False,,612d3383fa6596f4...
attendance\saturday (Recovered).xlsx,saturday (Recovered).xlsx,.xlsx,55251,20,ezz eldeen 11-12.5;sara 11-1;mariam 11-2;rewaa 12-2;private ibrahem 12-2;Mostafa 12-3;basem1-3;mariam 2-4;ibrahem 2-4;S&K 12-2;basem 3-6;sara 3-5;ibrahem 4-6;mariam 4.5-6.5;keras 4-5.5;sara 5-7;ibrahem 6-8;karas 6-8;Mostafa 3-4.5;Salma 2-4,358,False,,83ef8bab1ab08b2a...
attendance\sunday.xlsx,sunday.xlsx,.xlsx,15648,4,mostaf 3-4.5;mostafa 4-6;Ezz 5-7;mostafa 6-8,54,False,,dc23102f7ffce94d...
attendance\thursday.xlsx,thursday.xlsx,.xlsx,15114,2,private ibrahem;basem 4.5-6.5,80,False,,d3a68a191a364e1e...
attendance\tuesday.xlsx,tuesday.xlsx,.xlsx,8746,3,Sheet1;Sheet2;Sheet3,0,False,,ec79420787179991...
attendance\wednesday.xlsx,wednesday.xlsx,.xlsx,14239,2,Afro boles 5-7;mostafa 6-8,49,False,,f217ce6e7c03ffb3...
courses 2\AAP Inventor nada sat 3-6.xlsx,AAP Inventor nada sat 3-6.xlsx,.xlsx,9902,3,Sheet1;Sheet2;Sheet3,8,False,,1c654d6f66d274b2...
courses 2\Code.org sat 11-2 nada.xlsx,Code.org sat 11-2 nada.xlsx,.xlsx,10322,3,Sheet1;Sheet2;Sheet3,24,False,,396e9add9b8937f1...
courses 2\Html sat 6-8.xlsx,Html sat 6-8.xlsx,.xlsx,11280,3,Sheet1;Sheet2;Sheet3,18,False,,fe7ab770940bacb7...
courses 2\LEGO Sat 5-8.xlsx,LEGO Sat 5-8.xlsx,.xlsx,11898,3,level1;level 2;Sheet3,409,False,,8cc885aa406b41da...
courses 2\Mobile aap nada  fri 5.xlsx,Mobile aap nada  fri 5.xlsx,.xlsx,9938,3,Sheet1;Sheet2;Sheet3,8,False,,4205b39bbab2e65a...
courses 2\SCRATCH FRI REEM 3.xlsx,SCRATCH FRI REEM 3.xlsx,.xlsx,9895,3,Sheet1;Sheet2;Sheet3,9,False,,6c168261480cd538...
courses 2\SPACE Mon5-8.xlsx,SPACE Mon5-8.xlsx,.xlsx,11142,3,space;level 1;level 2,26,False,,a249782c382abfcb...
courses 2\arduino w 2-5.xlsx,arduino w 2-5.xlsx,.xlsx,9691,3,Sheet1;Sheet2;Sheet3,6,False,,ada85312b9231510...
courses 2\code.org 12-3 mariam.xlsx,code.org 12-3 mariam.xlsx,.xlsx,10864,3,Sheet1;Sheet2;Sheet3,24,False,,91b1ac2fcff1787a...
