timestamp,action,original_path,original_abs_path,destination_path,destination_abs_path,domain,confidence,file_size_bytes,status,error_message
2026-02-25T00:06:45.862824,COPY,attendance\Afro_Mayo.xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\attendance\Afro_Mayo.xlsx,data\processed\_REORGANIZED\01_CourseAttendance\Archive\Afro_Mayo (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\01_CourseAttendance\Archive\Afro_Mayo (1).xlsx,CourseAttendance,0.057,,SUCCESS,
2026-02-25T00:06:45.867125,COPY,attendance\Friday.xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\attendance\Friday.xlsx,data\processed\_REORGANIZED\01_CourseAttendance\Active\Friday (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\01_CourseAttendance\Active\Friday (1).xlsx,CourseAttendance,0.057,,SUCCESS,
2026-02-25T00:06:45.869252,COPY,attendance\monday.xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\attendance\monday.xlsx,data\processed\_REORGANIZED\01_CourseAttendance\Active\monday (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\01_CourseAttendance\Active\monday (1).xlsx,CourseAttendance,0.057,,SUCCESS,
2026-02-25T00:06:45.871512,COPY,attendance\saturday (Recovered).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\attendance\saturday (Recovered).xlsx,data\processed\_REORGANIZED\01_CourseAttendance\Active\saturday (Recovered) (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\01_CourseAttendance\Active\saturday (Recovered) (1).xlsx,CourseAttendance,0.057,,SUCCESS,
2026-02-25T00:06:45.874161,COPY,attendance\sunday.xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\attendance\sunday.xlsx,data\processed\_REORGANIZED\01_CourseAttendance\Active\sunday (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\01_CourseAttendance\Active\sunday (1).xlsx,CourseAttendance,0.057,,SUCCESS,
2026-02-25T00:06:45.876838,COPY,attendance\thursday.xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\attendance\thursday.xlsx,data\processed\_REORGANIZED\01_CourseAttendance\Active\thursday (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\01_CourseAttendance\Active\thursday (1).xlsx,CourseAttendance,0.057,,SUCCESS,
2026-02-25T00:06:45.878932,COPY,attendance\tuesday.xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\attendance\tuesday.xlsx,data\processed\_REORGANIZED\05_Unclassified\tuesday (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\05_Unclassified\tuesday (1).xlsx,Unclassified,0.0,,SUCCESS,
2026-02-25T00:06:45.881066,COPY,attendance\wednesday.xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\attendance\wednesday.xlsx,data\processed\_REORGANIZED\01_CourseAttendance\Active\wednesday (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\01_CourseAttendance\Active\wednesday (1).xlsx,CourseAttendance,0.057,,SUCCESS,
2026-02-25T00:06:45.883743,COPY,courses 2\AAP Inventor nada sat 3-6.xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\courses 2\AAP Inventor nada sat 3-6.xlsx,data\processed\_REORGANIZED\01_CourseAttendance\Active\AAP Inventor nada sat 3-6 (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\01_CourseAttendance\Active\AAP Inventor nada sat 3-6 (1).xlsx,CourseAttendance,0.314,,SUCCESS,
2026-02-25T00:06:45.886318,COPY,courses 2\Code.org sat 11-2 nada.xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\courses 2\Code.org sat 11-2 nada.xlsx,data\processed\_REORGANIZED\01_CourseAttendance\Active\Code.org sat 11-2 nada (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\01_CourseAttendance\Active\Code.org sat 11-2 nada (1).xlsx,CourseAttendance,0.229,,SUCCESS,
2026-02-25T00:06:45.888811,COPY,courses 2\Html sat 6-8.xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\raw\courses 2\Html sat 6-8.xlsx,data\processed\_REORGANIZED\01_CourseAttendance\Active\Html sat 6-8 (1).xlsx,E:\Users\ibrahim\Desktop\techno_data_ Copy\data\processed\_REORGANIZED\01_CourseAttendance\Active\Html sat 6-8 (1).xlsx,CourseAttendance,0.229,,SUCCESS,
